Preguntas;Respuesta_1;Respuesta_2;Respuesta_3
¿Si te lanzas al agua de un barco que está en medio del océano y te sumerges, ¿harías que el nivel del agua suba o baje?;Harías que el nivel del agua suba;No afectarías al nivel del agua;Harías que el nivel del agua bajara
¿Qué pesa más: un kilogramo de plumas o un kilogramo de hierro?;Un kilogramo de plumas pesa más;Un kilogramo de hierro pesa más;Ambos pesan lo mismo
Si tienes una vela encendida y una cerilla, ¿cuál enciendes primero?;La cerilla;La vela;No se puede encender la vela con la cerilla
Si un avión se estrella en la frontera entre Estados Unidos y México, ¿dónde entierras a los sobrevivientes?;En Estados Unidos;En México;No entierras a los sobrevivientes
¿Qué número sigue a esta secuencia? 1, 11, 21, 1211, 111221...;31131221;312211;31221
Si estás corriendo en una carrera y adelantas al segundo lugar, ¿en qué posición estás ahora?;En primer lugar;En segundo lugar;En tercer lugar
Si en un gallinero hay 30 gallinas y todas menos 25 mueren, ¿cuántas quedan?;Ninguna;25;Todas
Si un médico te da 3 pastillas para tomar cada media hora, ¿cuánto tiempo pasará hasta que hayas tomado las tres pastillas?;30 minutos;1 hora;1 hora y media
¿Qué es lo que siempre llega pero nunca se queda?;El tiempo;El amor;El mañana
¿Cuántos meses del año tienen 28 días?;Solo febrero;Todos los meses;Solo uno
¿Qué tan lejos puedes caminar hacia el bosque?;Hasta la mitad;Hasta donde desees;Hacia el bosque, pero nunca entrar
¿Cuántos animales de cada especie Moisés llevó en el arca?;1;2;Ninguno, fue Noé quien construyó el arca
Si tienes tres manzanas y tomas dos, ¿cuántas tienes?;1;3;2
Si hay un lago con patos blancos, ¿cómo harías para que todos los patos se vuelvan negros?;Pintando los patos blancos de negro;Esperando a que los patos blancos se oscurezcan con el tiempo;Apagando la luz
Si conduces un autobús con 40 personas, en la primera parada suben 7 y bajan 5, en la segunda suben 10 y bajan 3, en la tercera suben 12 y bajan 4, ¿cuántos años tiene el conductor del autobús?;40 años;30 años;La edad del conductor no se menciona en la pregunta
