Preguntas;Respuesta_1;Respuesta_2;Respuesta_3
Si un avión choca entre la frontera de Estados Unidos y México. ¿Dónde entierran a los supervivientes?;En los Estados Unidos;En México;No los entierran
¿Qué es lo que siempre llega pero nunca se queda?;El tiempo;El amor;El mañana
Si saltas al agua desde un bote en medio del océano, ¿Qué ocurre con el nivel del agua?;El nivel del agua aumenta;No hay ningún cambio;El nivel del agua disminuye
¿Cuántos animales de cada especie subió Moises al arca?;1;2;Ninguno
"¿Qué color tiene la ""L"" en el logo de Google?";Verde;Rojo;Azul
¿Qué número sige en esta secuencia? 1, 11, 21, 1211, 111221...;31131221;312211;31221
¿Cuál es el día más largo de la semana?;Sábado;Lunes;Miércoles
¿Qué pasó ayer en Barcelona entre las 7 y las 8?;Alguien Secuestró a tu familia;Un accidente;El tiempo
¿De qué solor son las Cajas Negras de los aviones?;Negras;Blancas;Naranjas
¿Qué es aquello al cual, cuánto más le quitas, más grnade se hace?;El conocmiento;Los secretos;Un agujero
¿Qué es lo que siempre llega pero nunca se queda?;El tiempo;El amor;El mañana
¿Qué número sige en esta secuencia? 1, 11, 21, 1211, 111221...;31131221;312211;31221
